clustID,cluster_confidence,uniprotACCs
huMAP3_00210.1,1,P11137 P13861 P24588 P31323 Q15506 Q5VU43 Q86UN6 Q99996 Q9Y2D5
huMAP3_00211.1,1,Q9UJX0 Q9UK32
huMAP3_00212.1,1,Q6S545 Q6S5H5 Q6S8J7
huMAP3_00213.1,1,Q08257 Q16822 Q9BPW8 Q9NSE4
huMAP3_00214.1,1,P01574 P17181
huMAP3_00215.1,1,P0C7T5 Q96RK0 Q99592
huMAP3_00216.1,1,P0C7U0 Q5R3F8 Q86TI0
huMAP3_00217.1,1,Q8IZJ1 Q96JM4
huMAP3_00218.1,1,O75106 P22083 Q16853
huMAP3_00219.1,1,Q3MIN7 Q6GMV1
huMAP3_00220.1,1,Q8NDC4 Q9P242
huMAP3_00221.1,1,Q5T5P2 Q8N684
huMAP3_00222.1,1,P49257 Q8NI22
huMAP3_00223.1,1,P51636 Q03135
huMAP3_00224.1,1,Q495B1 Q96LX8
huMAP3_00225.1,1,Q14154 Q9BQI3
huMAP3_00226.1,1,Q9BRX2 Q9NXK8
huMAP3_00227.1,1,P27816 Q05682 Q9BZZ5
huMAP3_00228.1,1,P0CG23 P0CG24 P10075
huMAP3_00229.1,1,O60216 O95072 Q14683 Q7Z5K2 Q8N3U4 Q8NDV3 Q8WVM7 Q92995 Q96FF9 Q9NTI5 Q9UQE7
huMAP3_00230.1,1,P35268 Q9Y3U8
huMAP3_00231.1,1,Q2LD37 Q8IWP9 Q9BWL3
huMAP3_00232.1,1,O15523 Q8NCA5
huMAP3_00233.1,1,O75398 Q5W0U4 Q8IUD6
huMAP3_00234.1,1,P02792 P11801 Q16690 Q5T890 Q6NT89 Q6P3R8 Q86Y97 Q9H8M1 Q9UPW5 Q9UQ07
huMAP3_00235.1,1,O75044 Q7Z6B7
huMAP3_00236.1,1,Q2NL98 Q8N9N5
huMAP3_00237.1,1,O15060 Q9H6Q4
huMAP3_00238.1,1,Q06432 Q86V21 Q9H3U5
huMAP3_00239.1,1,O95049 Q9H6Y5
huMAP3_00240.1,1,P08235 Q8N4J0 Q96B70
huMAP3_00241.1,1,P27797 P43235
huMAP3_00242.1,1,Q8N4T0 Q8NCQ5 Q9NQE9
huMAP3_00243.1,1,O14910 P78352 Q02410 Q8WV92
huMAP3_00244.1,1,O75208 P0DJD7 P21583 P36915 P49247 Q9NRX4 Q9Y2I2
huMAP3_00245.1,1,P31153 Q00266
huMAP3_00246.1,1,Q8TCF1 Q96AQ1
huMAP3_00247.1,1,P61962 Q2M3V2 Q53LP3 Q96F45 Q9H2X6 Q9H693 Q9H7S9
huMAP3_00248.1,1,O75074 P22083
huMAP3_00249.1,1,O75955 P84996
huMAP3_00250.1,1,P0C2L3 Q5T6V5
huMAP3_00251.1,1,P61019 Q8IWE2 Q8WUD1
huMAP3_00252.1,1,A1L0T0 Q9HCG7
