Cell_line	SIDM	Project_Identifier	Tissue_type	Cancer_type	Cancer_subtype
KARPAS-1106P	SIDM01011	SIDM01011;KARPAS-1106P	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Diffuse large B-cell lymphoma
A431	SIDM00995	SIDM00995;A431	Skin	Other Solid Carcinomas	Vulvar Squamous Cell Carcinoma
Detroit562	SIDM00831	SIDM00831;Detroit562	Head and Neck	Head and Neck Carcinoma	Pharyngeal squamous cell carcinoma
P12-ICHIKAWA	SIDM00463	SIDM00463;P12-ICHIKAWA	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Childhood T acute lymphoblastic leukemia
DOHH-2	SIDM00981	SIDM00981;DOHH-2	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Diffuse large B-cell lymphoma
D-245MG	SIDM01021	SIDM01021;D-245MG	Central Nervous System	Glioblastoma	
SK-GT-2	SIDM00393	SIDM00393;SK-GT-2	Stomach	Gastric Carcinoma	Gastric fundus carcinoma
ETK-1	SIDM00276	SIDM00276;ETK-1	Biliary Tract	Biliary Tract Carcinoma	Intrahepatic Cholangiocarcinoma
LP-1	SIDM00340	SIDM00340;LP-1	Haematopoietic and Lymphoid	Plasma Cell Myeloma	
BT-549	SIDM00122	SIDM00122;BT-549	Breast	Breast Carcinoma	Invasive Ductal Carcinoma of No Special Type
PCI-6A	SIDM00115	SIDM00115;PCI-6A	Head and Neck	Head and Neck Carcinoma	Tonsillar squamous cell carcinoma
no-11	SIDM00573	SIDM00573;no-11	Central Nervous System	Glioblastoma	
D-566MG	SIDM00206	SIDM00206;D-566MG	Central Nervous System	Glioblastoma	
RCC-JF	SIDM00818	SIDM00818;RCC-JF	Kidney	Kidney Carcinoma	Clear cell renal cell carcinoma
NCI-H2172	SIDM00926	SIDM00926;NCI-H2172	Lung	Non-Small Cell Lung Carcinoma	
OCI-LY7	SIDM00459	SIDM00459;OCI-LY7	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Diffuse large B-cell lymphoma
MOLM-16	SIDM00435	SIDM00435;MOLM-16	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Adult Acute Myeloid Leukemia
CP66-MEL	SIDM00190	SIDM00190;CP66-MEL	Skin	Melanoma	
U031	SIDM00112	SIDM00112;U031	Kidney	Kidney Carcinoma	
PCI-4B	SIDM00043	SIDM00043;PCI-4B	Head and Neck	Head and Neck Carcinoma	Laryngeal squamous cell carcinoma
NCI-H2081	SIDM00710	SIDM00710;NCI-H2081	Lung	Small Cell Lung Carcinoma	
PL-21	SIDM00450	SIDM00450;PL-21	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Acute Monocytic leukemia
SU-DHL-4	SIDM00405	SIDM00405;SU-DHL-4	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Diffuse large B-cell lymphoma
SF126	SIDM00382	SIDM00382;SF126	Central Nervous System	Glioblastoma	
Hs-683	SIDM00666	SIDM00666;Hs-683	Central Nervous System	Glioma	Oligodendroglioma
SW954	SIDM01157	SIDM01157;SW954	Vulva	Vulvar carcinoma	Vulvar Squamous Cell Carcinoma
OVCA433	SIDM00966	SIDM00966;OVCA433	Ovary	Ovarian Carcinoma	Ovarian serous adenocarcinoma
NCI-H508	SIDM00777	SIDM00777;NCI-H508	Large Intestine	Colorectal Carcinoma	Cecum adenocarcinoma
NCI-H2804	SIDM00310	SIDM00310;NCI-H2804	Lung	Mesothelioma	Malignant Pleural Mesothelioma
OCI-LY-19	SIDM00460	SIDM00460;OCI-LY-19	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Diffuse large B-cell lymphoma
JHU-029	SIDM00690	SIDM00690;JHU-029	Head and Neck	Head and Neck Carcinoma	Laryngeal squamous cell carcinoma
TMK-1	SIDM00040	SIDM00040;TMK-1	Stomach	Gastric Carcinoma	Gastric adenocarcinoma
K052	SIDM00018	SIDM00018;K052	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Adult Acute Myeloid Leukemia
STS-0421	SIDM00041	SIDM00041;STS-0421	Stomach	Gastric Carcinoma	Gastric adenocarcinoma
NB6	SIDM00253	SIDM00253;NB6	Peripheral Nervous System	Neuroblastoma	
EMC-BAC-1	SIDM00048	SIDM00048;EMC-BAC-1	Lung	Non-Small Cell Lung Carcinoma	
SU-DHL-16	SIDM00404	SIDM00404;SU-DHL-16	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	
PC-14	SIDM00237	SIDM00237;PC-14	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
D-336MG	SIDM00620	SIDM00620;D-336MG	Central Nervous System	Glioblastoma	
SIG-M5	SIDM00396	SIDM00396;SIG-M5	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Adult Acute Myeloid Leukemia
NCI-H838	SIDM01150	SIDM01150;NCI-H838	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
TE-11	SIDM00348	SIDM00348;TE-11	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
U-2-OS	SIDM01191	SIDM01191;U-2-OS	Bone	Osteosarcoma	
LB373-MEL-D	SIDM00184	SIDM00184;LB373-MEL-D	Skin	Melanoma	
CHSA0011	SIDM00051	SIDM00051;CHSA0011	Bone	Chondrosarcoma	
TE-12	SIDM00023	SIDM00023;TE-12	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
RXF393	SIDM00086	SIDM00086;RXF393	Kidney	Kidney Carcinoma	
LC-2-ad	SIDM00297	SIDM00297;LC-2-ad	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
OVCAR-3	SIDM00105	SIDM00105;OVCAR-3	Ovary	Ovarian Carcinoma	High grade ovarian serous adenocarcinoma
RCC-ER	SIDM00820	SIDM00820;RCC-ER	Kidney	Kidney Carcinoma	Clear cell renal cell carcinoma
CHSA0108	SIDM00050	SIDM00050;CHSA0108	Bone	Chondrosarcoma	
NU-DUL-1	SIDM00443	SIDM00443;NU-DUL-1	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Diffuse large B-cell lymphoma
NCI-H2110	SIDM00703	SIDM00703;NCI-H2110	Lung	Non-Small Cell Lung Carcinoma	
MONO-MAC-6	SIDM01023	SIDM01023;MONO-MAC-6	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Adult Acute Monocytic Leukemia
RCC-MF	SIDM00816	SIDM00816;RCC-MF	Kidney	Kidney Carcinoma	Clear cell renal cell carcinoma
NCI-H2869	SIDM00519	SIDM00519;NCI-H2869	Lung	Mesothelioma	Pleural Biphasic Mesothelioma
MFH-ino	SIDM00299	SIDM00299;MFH-ino	Soft Tissue	Other Sarcomas	Undifferentiated pleomorphic sarcoma
HH	SIDM00671	SIDM00671;HH	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	Cutaneous T-Cell Lymphoma
NCI-H460	SIDM00144	SIDM00144;NCI-H460	Lung	Non-Small Cell Lung Carcinoma	Lung large cell carcinoma
LB2518-MEL	SIDM00185	SIDM00185;LB2518-MEL	Skin	Melanoma	
SW620	SIDM00841	SIDM00841;SW620	Large Intestine	Colorectal Carcinoma	Colon adenocarcinoma
PFSK-1	SIDM01132	SIDM01132;PFSK-1	Other tissue	Other Solid Carcinomas	Primitive Neuroectodermal Tumor
K-562	SIDM00791	SIDM00791;K-562	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	
TK10	SIDM00113	SIDM00113;TK10	Kidney	Kidney Carcinoma	Clear cell renal cell carcinoma
ML-2	SIDM00441	SIDM00441;ML-2	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Adult Acute Myeloid Leukemia
HCT-15	SIDM00789	SIDM00789;HCT-15	Large Intestine	Colorectal Carcinoma	Colon adenocarcinoma
