Cell_line	SIDM	Project_Identifier	Tissue_type	Cancer_type	Cancer_subtype
PANC-08-13	SIDM01136	SIDM01136;PANC-08-13	Pancreas	Pancreatic Carcinoma	Pancreatic ductal adenocarcinoma
MOLT-13	SIDM00433	SIDM00433;MOLT-13	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Childhood T acute lymphoblastic leukemia
CTV-1	SIDM00951	SIDM00951;CTV-1	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Adult T acute lymphoblastic leukemia
COR-L23	SIDM00512	SIDM00512;COR-L23	Lung	Non-Small Cell Lung Carcinoma	Lung large cell carcinoma
HEC-1	SIDM00596	SIDM00596;HEC-1	Endometrium	Endometrial Carcinoma	Endometrial adenocarcinoma
P30-OHK	SIDM00364	SIDM00364;P30-OHK	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Childhood B acute lymphoblastic leukemia
JURL-MK1	SIDM01015	SIDM01015;JURL-MK1	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	
Daudi	SIDM00845	SIDM00845;Daudi	Haematopoietic and Lymphoid	Burkitt's Lymphoma	
PA-TU-8988T	SIDM00453	SIDM00453;PA-TU-8988T	Pancreas	Pancreatic Carcinoma	Pancreatic adenocarcinoma
SiHa	SIDM01093	SIDM01093;SiHa	Cervix	Cervical Carcinoma	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma
NCI-H2591	SIDM00101	SIDM00101;NCI-H2591	Lung	Mesothelioma	Pleural Epithelioid Mesothelioma
COLO-678	SIDM00957	SIDM00957;COLO-678	Large Intestine	Colorectal Carcinoma	
BE2-M17	SIDM01229	SIDM01229;BE2-M17	Peripheral Nervous System	Neuroblastoma	
DiFi	SIDM00049	SIDM00049;DiFi	Large Intestine	Colorectal Carcinoma	
TUR	SIDM01205	SIDM01205;TUR	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Acute Monocytic leukemia
NCI-H2373	SIDM00103	SIDM00103;NCI-H2373	Lung	Mesothelioma	Pleural Sarcomatoid Mesothelioma
OACM5-1	SIDM00444	SIDM00444;OACM5-1	Esophagus	Esophageal Carcinoma	Esophageal Adenocarcinoma
UMC-11	SIDM01183	SIDM01183;UMC-11	Lung	Carcinoid Tumour	Lung Carcinoid Tumor
SK-MG-1	SIDM00379	SIDM00379;SK-MG-1	Central Nervous System	Glioma	Low Grade Glioma
ESO26	SIDM00539	SIDM00539;ESO26	Esophagus	Esophageal Carcinoma	Esophageal Adenocarcinoma
SISO	SIDM00394	SIDM00394;SISO	Cervix	Cervical Carcinoma	Cervical Adenocarcinoma
ESO51	SIDM00538	SIDM00538;ESO51	Esophagus	Esophageal Carcinoma	Esophageal Adenocarcinoma
GP5d	SIDM00537	SIDM00537;GP5d	Large Intestine	Colorectal Carcinoma	Colon adenocarcinoma
Hey	SIDM00968	SIDM00968;Hey	Ovary	Ovarian Carcinoma	High grade ovarian serous adenocarcinoma
LB771-HNC	SIDM00182	SIDM00182;LB771-HNC	Head and Neck	Head and Neck Carcinoma	Head and Neck Squamous Cell Carcinoma
NCI-H720	SIDM01120	SIDM01120;NCI-H720	Lung	Carcinoid Tumour	Lung Carcinoid Tumor
8505C	SIDM00996	SIDM00996;8505C	Thyroid	Thyroid Gland Carcinoma	Thyroid gland anaplastic carcinoma
KE-37	SIDM01003	SIDM01003;KE-37	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Adult T acute lymphoblastic leukemia
OACp4C	SIDM00445	SIDM00445;OACp4C	Esophagus	Esophageal Carcinoma	Esophageal Adenocarcinoma
C-4-I	SIDM00905	SIDM00905;C-4-I	Cervix	Cervical Carcinoma	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma
23132-87	SIDM00980	SIDM00980;23132-87	Stomach	Gastric Carcinoma	Gastric adenocarcinoma
RERF-LC-Sq1	SIDM00354	SIDM00354;RERF-LC-Sq1	Lung	Non-Small Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
SCC90	SIDM00399	SIDM00399;SCC90	Head and Neck	Head and Neck Carcinoma	Tongue squamous cell carcinoma
B-CPAP	SIDM00992	SIDM00992;B-CPAP	Thyroid	Thyroid Gland Carcinoma	Poorly differentiated thyroid gland carcinoma
NCI-H2722	SIDM00099	SIDM00099;NCI-H2722	Lung	Mesothelioma	Malignant Pleural Mesothelioma
SW756	SIDM01174	SIDM01174;SW756	Cervix	Cervical Carcinoma	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma
NCI-H513	SIDM00114	SIDM00114;NCI-H513	Lung	Non-Small Cell Lung Carcinoma	Adenosquamous lung carcinoma
EW-13	SIDM00621	SIDM00621;EW-13	Bone	Ewing's Sarcoma	
NEC8	SIDM00243	SIDM00243;NEC8	Testis	Other Solid Carcinomas	Testicular embryonal carcinoma
WM35	SIDM00974	SIDM00974;WM35	Skin	Melanoma	
SAT	SIDM00350	SIDM00350;SAT	Head and Neck	Head and Neck Carcinoma	Head and Neck Squamous Cell Carcinoma
NCI-H2369	SIDM00104	SIDM00104;NCI-H2369	Lung	Mesothelioma	Malignant Pleural Mesothelioma
A253	SIDM00796	SIDM00796;A253	Head and Neck	Head and Neck Carcinoma	Salivary gland squamous cell carcinoma
CAL-33	SIDM00942	SIDM00942;CAL-33	Head and Neck	Head and Neck Carcinoma	Tongue Squamous Cell Carcinoma
697	SIDM01076	SIDM01076;697	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Childhood B acute lymphoblastic leukemia
LC-1-sq	SIDM00300	SIDM00300;LC-1-sq	Lung	Non-Small Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
EM-2	SIDM01047	SIDM01047;EM-2	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	
TYK-nu	SIDM00321	SIDM00321;TYK-nu	Ovary	Ovarian Carcinoma	High grade ovarian serous adenocarcinoma
KYSE-50	SIDM00550	SIDM00550;KYSE-50	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
RH-1	SIDM00427	SIDM00427;RH-1	Bone	Ewing's Sarcoma	
KCL-22	SIDM01004	SIDM01004;KCL-22	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	
DBTRG-05MG	SIDM00867	SIDM00867;DBTRG-05MG	Central Nervous System	Glioblastoma	
HuO9	SIDM00599	SIDM00599;HuO9	Bone	Osteosarcoma	
TOV-112D	SIDM01170	SIDM01170;TOV-112D	Ovary	Ovarian Carcinoma	Ovarian endometrioid adenocarcinoma
VA-ES-BJ	SIDM01179	SIDM01179;VA-ES-BJ	Soft Tissue	Other Sarcomas	Epithelioid Sarcoma
HT-1080	SIDM00828	SIDM00828;HT-1080	Soft Tissue	Other Sarcomas	Fibrosarcoma
NCI-H2170	SIDM00716	SIDM00716;NCI-H2170	Lung	Non-Small Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
T47D	SIDM00097	SIDM00097;T47D	Breast	Breast Carcinoma	Invasive Ductal Carcinoma of No Special Type
NH-12	SIDM00577	SIDM00577;NH-12	Peripheral Nervous System	Neuroblastoma	
MCF7	SIDM00148	SIDM00148;MCF7	Breast	Breast Carcinoma	Invasive Ductal Carcinoma of No Special Type
786-0	SIDM00125	SIDM00125;786-0	Kidney	Kidney Carcinoma	
EJM	SIDM01048	SIDM01048;EJM	Haematopoietic and Lymphoid	Plasma Cell Myeloma	
G-402	SIDM00855	SIDM00855;G-402	Soft Tissue	Other Sarcomas	Epithelioid Cell Type Gastrointestinal Stromal Tumor
KYSE-150	SIDM01031	SIDM01031;KYSE-150	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
TGBC24TKB	SIDM00267	SIDM00267;TGBC24TKB	Biliary Tract	Biliary Tract Carcinoma	Gallbladder carcinoma
NCI-H1975	SIDM00759	SIDM00759;NCI-H1975	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
SUP-HD1	SIDM00422	SIDM00422;SUP-HD1	Haematopoietic and Lymphoid	Hodgkin's Lymphoma	
SUP-M2	SIDM00421	SIDM00421;SUP-M2	Haematopoietic and Lymphoid	T-Cell Non-Hodgkin's Lymphoma	Anaplastic Large Cell Lymphoma
SNU-175	SIDM00216	SIDM00216;SNU-175	Large Intestine	Colorectal Carcinoma	Colon adenocarcinoma
KOPN-8	SIDM01034	SIDM01034;KOPN-8	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Childhood B acute lymphoblastic leukemia
PF-382	SIDM00451	SIDM00451;PF-382	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Childhood T acute lymphoblastic leukemia
RD	SIDM00847	SIDM00847;RD	Soft Tissue	Rhabdomyosarcoma	Embryonal rhabdomyosarcoma
CAL-78	SIDM00929	SIDM00929;CAL-78	Bone	Chondrosarcoma	
RH-41	SIDM00426	SIDM00426;RH-41	Soft Tissue	Rhabdomyosarcoma	Alveolar rhabdomyosarcoma
NCI-H1155	SIDM00651	SIDM00651;NCI-H1155	Lung	Non-Small Cell Lung Carcinoma	Lung large cell carcinoma
CA46	SIDM00907	SIDM00907;CA46	Haematopoietic and Lymphoid	Burkitt's Lymphoma	
L-428	SIDM00327	SIDM00327;L-428	Haematopoietic and Lymphoid	Hodgkin's Lymphoma	
NCI-H1573	SIDM00749	SIDM00749;NCI-H1573	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
huH-1	SIDM00586	SIDM00586;huH-1	Liver	Hepatocellular Carcinoma	
8-MG-BA	SIDM00998	SIDM00998;8-MG-BA	Central Nervous System	Glioblastoma	
CADO-ES1	SIDM00961	SIDM00961;CADO-ES1	Bone	Ewing's Sarcoma	
OE19	SIDM00479	SIDM00479;OE19	Esophagus	Esophageal Carcinoma	Esophageal Adenocarcinoma
HCC1806	SIDM00875	SIDM00875;HCC1806	Breast	Breast Carcinoma	Breast squamous cell carcinoma
Daoy	SIDM00887	SIDM00887;Daoy	Central Nervous System	Other Solid Carcinomas	Medulloblastoma
GOTO	SIDM00544	SIDM00544;GOTO	Peripheral Nervous System	Neuroblastoma	
LU-135	SIDM00294	SIDM00294;LU-135	Lung	Small Cell Lung Carcinoma	
SIMA	SIDM00395	SIDM00395;SIMA	Peripheral Nervous System	Neuroblastoma	
DMS-53	SIDM00523	SIDM00523;DMS-53	Lung	Small Cell Lung Carcinoma	
JVM-2	SIDM01013	SIDM01013;JVM-2	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Mantle cell lymphoma
GCT	SIDM00853	SIDM00853;GCT	Soft Tissue	Other Sarcomas	Undifferentiated pleomorphic sarcoma
CHSA8926	SIDM00176	SIDM00176;CHSA8926	Bone	Chondrosarcoma	
NCI-H1650	SIDM00745	SIDM00745;NCI-H1650	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
MFE-319	SIDM00333	SIDM00333;MFE-319	Endometrium	Endometrial Carcinoma	Endometrial adenosquamous carcinoma
DG-75	SIDM00948	SIDM00948;DG-75	Haematopoietic and Lymphoid	Burkitt's Lymphoma	
SNU-1	SIDM01146	SIDM01146;SNU-1	Stomach	Gastric Carcinoma	Gastric adenocarcinoma
NCI-H661	SIDM01122	SIDM01122;NCI-H661	Lung	Non-Small Cell Lung Carcinoma	Lung large cell carcinoma
UACC-257	SIDM00108	SIDM00108;UACC-257	Skin	Melanoma	
TE-4	SIDM00250	SIDM00250;TE-4	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
NCI-H446	SIDM00965	SIDM00965;NCI-H446	Lung	Small Cell Lung Carcinoma	
HCC-827	SIDM01067	SIDM01067;HCC-827	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
BT-20	SIDM00893	SIDM00893;BT-20	Breast	Breast Carcinoma	Invasive Ductal Carcinoma of No Special Type
EW-18	SIDM00197	SIDM00197;EW-18	Bone	Ewing's Sarcoma	
JIMT-1	SIDM01037	SIDM01037;JIMT-1	Breast	Breast Carcinoma	Ductal Breast Carcinoma
MDST8	SIDM00527	SIDM00527;MDST8	Large Intestine	Colorectal Carcinoma	
HTC-C3	SIDM00496	SIDM00496;HTC-C3	Thyroid	Thyroid Gland Carcinoma	Thyroid gland anaplastic carcinoma
KYSE-410	SIDM01028	SIDM01028;KYSE-410	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
FU-OV-1	SIDM01040	SIDM01040;FU-OV-1	Ovary	Ovarian Carcinoma	High grade ovarian serous adenocarcinoma
JJN-3	SIDM01036	SIDM01036;JJN-3	Haematopoietic and Lymphoid	Plasma Cell Myeloma	
MOLP-8	SIDM00434	SIDM00434;MOLP-8	Haematopoietic and Lymphoid	Plasma Cell Myeloma	
COLO-205	SIDM00826	SIDM00826;COLO-205	Large Intestine	Colorectal Carcinoma	Colon adenocarcinoma
EVSA-T	SIDM01042	SIDM01042;EVSA-T	Breast	Breast Carcinoma	
IM-95	SIDM00602	SIDM00602;IM-95	Stomach	Gastric Carcinoma	Gastric adenocarcinoma
AU565	SIDM00898	SIDM00898;AU565	Breast	Breast Carcinoma	Breast adenocarcinoma
KARPAS-231	SIDM01017	SIDM01017;KARPAS-231	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Adult B acute lymphoblastic leukemia
Calu-6	SIDM00921	SIDM00921;Calu-6	Lung	Non-Small Cell Lung Carcinoma	Lung adenocarcinoma
OE21	SIDM00478	SIDM00478;OE21	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
IGR-1	SIDM01060	SIDM01060;IGR-1	Skin	Melanoma	
OVCA420	SIDM00967	SIDM00967;OVCA420	Ovary	Ovarian Carcinoma	Ovarian serous adenocarcinoma
SW626	SIDM01168	SIDM01168;SW626	Large Intestine	Colorectal Carcinoma	Colon adenocarcinoma
NCI-H1688	SIDM00792	SIDM00792;NCI-H1688	Lung	Small Cell Lung Carcinoma	
JHH-1	SIDM00618	SIDM00618;JHH-1	Liver	Hepatocellular Carcinoma	
A172	SIDM00799	SIDM00799;A172	Central Nervous System	Glioblastoma	
AM-38	SIDM00492	SIDM00492;AM-38	Central Nervous System	Glioblastoma	
RT4	SIDM01085	SIDM01085;RT4	Bladder	Bladder Carcinoma	
NCI-H1341	SIDM00646	SIDM00646;NCI-H1341	Lung	Small Cell Lung Carcinoma	
J82	SIDM00693	SIDM00693;J82	Bladder	Bladder Carcinoma	
HGC-27	SIDM00290	SIDM00290;HGC-27	Stomach	Gastric Carcinoma	
PA-1	SIDM01140	SIDM01140;PA-1	Ovary	Other Solid Carcinomas	Ovarian mixed germ cell tumor
NCI-H747	SIDM00778	SIDM00778;NCI-H747	Large Intestine	Colorectal Carcinoma	Cecum adenocarcinoma
TALL-1	SIDM00370	SIDM00370;TALL-1	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Adult T acute lymphoblastic leukemia
HL-60	SIDM00829	SIDM00829;HL-60	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Adult Acute Myeloid Leukemia
HCE-4	SIDM00052	SIDM00052;HCE-4	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
NCI-H2347	SIDM00726	SIDM00726;NCI-H2347	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
NCI-H2405	SIDM00724	SIDM00724;NCI-H2405	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
HT-115	SIDM00534	SIDM00534;HT-115	Large Intestine	Colorectal Carcinoma	
NCI-H322M	SIDM00117	SIDM00117;NCI-H322M	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
KU-19-19	SIDM01033	SIDM01033;KU-19-19	Bladder	Bladder Carcinoma	
CL-11	SIDM00944	SIDM00944;CL-11	Large Intestine	Colorectal Carcinoma	Colon adenocarcinoma
HDQ-P1	SIDM01062	SIDM01062;HDQ-P1	Breast	Breast Carcinoma	
A427	SIDM00810	SIDM00810;A427	Lung	Non-Small Cell Lung Carcinoma	Lung adenocarcinoma
GDM-1	SIDM01057	SIDM01057;GDM-1	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Adult Acute Myeloid Leukemia
GA-10	SIDM00854	SIDM00854;GA-10	Haematopoietic and Lymphoid	Burkitt's Lymphoma	
MHH-PREB-1	SIDM00388	SIDM00388;MHH-PREB-1	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	
KM-H2	SIDM01018	SIDM01018;KM-H2	Haematopoietic and Lymphoid	Hodgkin's Lymphoma	
MES-SA	SIDM00625	SIDM00625;MES-SA	Soft Tissue	Other Sarcomas	Uterine Corpus Sarcoma
OCI-M1	SIDM00458	SIDM00458;OCI-M1	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Adult Acute Myeloid Leukemia
SU-DHL-8	SIDM00423	SIDM00423;SU-DHL-8	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Diffuse large B-cell lymphoma
SKM-1	SIDM00380	SIDM00380;SKM-1	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Adult Acute Myeloid Leukemia
OCI-AML5	SIDM00461	SIDM00461;OCI-AML5	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Adult Acute Myeloid Leukemia
NCI-H716	SIDM00779	SIDM00779;NCI-H716	Large Intestine	Colorectal Carcinoma	Cecum adenocarcinoma
HuTu-80	SIDM00694	SIDM00694;HuTu-80	Small Intestine	Other Solid Carcinomas	Duodenal adenocarcinoma
SW1573	SIDM01163	SIDM01163;SW1573	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
NCI-H1781	SIDM00754	SIDM00754;NCI-H1781	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
RL95-2	SIDM01088	SIDM01088;RL95-2	Endometrium	Endometrial Carcinoma	Endometrial adenosquamous carcinoma
NCI-H1944	SIDM00762	SIDM00762;NCI-H1944	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
EW-1	SIDM00205	SIDM00205;EW-1	Bone	Ewing's Sarcoma	
OVCAR-4	SIDM00092	SIDM00092;OVCAR-4	Ovary	Ovarian Carcinoma	High grade ovarian serous adenocarcinoma
FADU	SIDM00860	SIDM00860;FADU	Head and Neck	Head and Neck Carcinoma	Hypopharyngeal squamous cell carcinoma
RPMI-7951	SIDM01087	SIDM01087;RPMI-7951	Skin	Melanoma	
COLO-792	SIDM00140	SIDM00140;COLO-792	Skin	Melanoma	
BV-173	SIDM00962	SIDM00962;BV-173	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	
NUGC-4	SIDM00570	SIDM00570;NUGC-4	Stomach	Gastric Carcinoma	Gastric signet ring cell adenocarcinoma
SK-MEL-5	SIDM00080	SIDM00080;SK-MEL-5	Skin	Melanoma	Cutaneous melanoma
KYSE-520	SIDM01025	SIDM01025;KYSE-520	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
KLE	SIDM00686	SIDM00686;KLE	Endometrium	Endometrial Carcinoma	Endometrial adenocarcinoma
C2BBe1	SIDM01233	SIDM01233;C2BBe1	Large Intestine	Colorectal Carcinoma	Colon adenocarcinoma
NCI-H1563	SIDM00751	SIDM00751;NCI-H1563	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
SF268	SIDM00085	SIDM00085;SF268	Central Nervous System	Glioma	Low Grade Glioma
TE-6	SIDM00328	SIDM00328;TE-6	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
CHP-212	SIDM00910	SIDM00910;CHP-212	Peripheral Nervous System	Neuroblastoma	
COLO-824	SIDM00954	SIDM00954;COLO-824	Breast	Breast Carcinoma	
ES-2	SIDM00861	SIDM00861;ES-2	Ovary	Ovarian Carcinoma	Ovarian clear cell adenocarcinoma
HT-1197	SIDM00676	SIDM00676;HT-1197	Bladder	Bladder Carcinoma	
HCC1954	SIDM00872	SIDM00872;HCC1954	Breast	Breast Carcinoma	Ductal Breast Carcinoma
TOV-21G	SIDM01169	SIDM01169;TOV-21G	Ovary	Ovarian Carcinoma	Ovarian clear cell adenocarcinoma
RPMI-8226	SIDM00087	SIDM00087;RPMI-8226	Haematopoietic and Lymphoid	Plasma Cell Myeloma	
HCC2157	SIDM00774	SIDM00774;HCC2157	Breast	Breast Carcinoma	Ductal Breast Carcinoma
EFM-192A	SIDM01002	SIDM01002;EFM-192A	Breast	Breast Carcinoma	
HEL	SIDM00594	SIDM00594;HEL	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Erythroleukemia
A498	SIDM00124	SIDM00124;A498	Kidney	Kidney Carcinoma	
NCI-H2052	SIDM00713	SIDM00713;NCI-H2052	Lung	Mesothelioma	Pleural Sarcomatoid Mesothelioma
MEL-JUSO	SIDM00336	SIDM00336;MEL-JUSO	Skin	Melanoma	Cutaneous melanoma
NCI-H196	SIDM00761	SIDM00761;NCI-H196	Lung	Small Cell Lung Carcinoma	
DK-MG	SIDM00947	SIDM00947;DK-MG	Central Nervous System	Glioblastoma	
NCI-H23	SIDM00138	SIDM00138;NCI-H23	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
SU-DHL-10	SIDM00389	SIDM00389;SU-DHL-10	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Diffuse large B-cell lymphoma
SUP-B8	SIDM01177	SIDM01177;SUP-B8	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Childhood B acute lymphoblastic leukemia
JHH-4	SIDM00616	SIDM00616;JHH-4	Liver	Hepatocellular Carcinoma	
ABC-1	SIDM00494	SIDM00494;ABC-1	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
KMS-12-BM	SIDM01020	SIDM01020;KMS-12-BM	Haematopoietic and Lymphoid	Plasma Cell Myeloma	
Jurkat	SIDM01016	SIDM01016;Jurkat	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Childhood T acute lymphoblastic leukemia
TT2609-C02	SIDM00418	SIDM00418;TT2609-C02	Thyroid	Thyroid Gland Carcinoma	Thyroid gland follicular carcinoma
TE-1	SIDM00369	SIDM00369;TE-1	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
HSC-4	SIDM00588	SIDM00588;HSC-4	Head and Neck	Head and Neck Carcinoma	Tongue Squamous Cell Carcinoma
HCC2998	SIDM00118	SIDM00118;HCC2998	Large Intestine	Colorectal Carcinoma	Colon adenocarcinoma
5637	SIDM00807	SIDM00807;5637	Bladder	Bladder Carcinoma	
LCLC-97TM1	SIDM00344	SIDM00344;LCLC-97TM1	Lung	Non-Small Cell Lung Carcinoma	Lung large cell carcinoma
PC-3	SIDM00088	SIDM00088;PC-3	Prostate	Prostate Carcinoma	
TC-71	SIDM00419	SIDM00419;TC-71	Bone	Ewing's Sarcoma	
D-423MG	SIDM00209	SIDM00209;D-423MG	Central Nervous System	Glioblastoma	
NB5	SIDM00254	SIDM00254;NB5	Peripheral Nervous System	Neuroblastoma	
SCC-15	SIDM01083	SIDM01083;SCC-15	Head and Neck	Head and Neck Carcinoma	Tongue Squamous Cell Carcinoma
SK-N-DZ	SIDM01100	SIDM01100;SK-N-DZ	Peripheral Nervous System	Neuroblastoma	
SNU-C5	SIDM00498	SIDM00498;SNU-C5	Large Intestine	Colorectal Carcinoma	Cecum adenocarcinoma
NCI-H650	SIDM01124	SIDM01124;NCI-H650	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
NCI-H2228	SIDM00729	SIDM00729;NCI-H2228	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
EC-GI-10	SIDM00278	SIDM00278;EC-GI-10	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
NCI-H1876	SIDM00766	SIDM00766;NCI-H1876	Lung	Small Cell Lung Carcinoma	
HCC1143	SIDM00866	SIDM00866;HCC1143	Breast	Breast Carcinoma	Ductal Breast Carcinoma
FTC-133	SIDM00213	SIDM00213;FTC-133	Thyroid	Thyroid Gland Carcinoma	Thyroid gland follicular carcinoma
MOLT-16	SIDM00431	SIDM00431;MOLT-16	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Childhood T acute lymphoblastic leukemia
SCC-3	SIDM00384	SIDM00384;SCC-3	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	
NCI-H1694	SIDM00741	SIDM00741;NCI-H1694	Lung	Small Cell Lung Carcinoma	
RCC10RGB	SIDM00235	SIDM00235;RCC10RGB	Kidney	Kidney Carcinoma	
RS4-11	SIDM01086	SIDM01086;RS4-11	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Adult B acute lymphoblastic leukemia
NCI-H209	SIDM00706	SIDM00706;NCI-H209	Lung	Small Cell Lung Carcinoma	
NCI-H292	SIDM00493	SIDM00493;NCI-H292	Lung	Other Solid Carcinomas	Lung mucoepidermoid carcinoma
U-118-MG	SIDM01193	SIDM01193;U-118-MG	Central Nervous System	Glioma	Low Grade Glioma
LN-18	SIDM00685	SIDM00685;LN-18	Central Nervous System	Glioblastoma	
647-V	SIDM00983	SIDM00983;647-V	Bladder	Bladder Carcinoma	
SNU-407	SIDM00214	SIDM00214;SNU-407	Large Intestine	Colorectal Carcinoma	Colon adenocarcinoma
SNU-5	SIDM01144	SIDM01144;SNU-5	Stomach	Gastric Carcinoma	Gastric adenocarcinoma
HT	SIDM00661	SIDM00661;HT	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Diffuse large B-cell lymphoma
HOP-92	SIDM00134	SIDM00134;HOP-92	Lung	Non-Small Cell Lung Carcinoma	
KNS-81-FD	SIDM01210	SIDM01210;KNS-81-FD	Central Nervous System	Glioblastoma	
NCI-H596	SIDM01127	SIDM01127;NCI-H596	Lung	Non-Small Cell Lung Carcinoma	Adenosquamous lung carcinoma
KYSE-140	SIDM01032	SIDM01032;KYSE-140	Esophagus	Esophageal Carcinoma	Esophageal Squamous Cell Carcinoma
EKVX	SIDM00119	SIDM00119;EKVX	Lung	Non-Small Cell Lung Carcinoma	Lung adenocarcinoma
BEN	SIDM00990	SIDM00990;BEN	Lung	Non-Small Cell Lung Carcinoma	
JEKO-1	SIDM01038	SIDM01038;JEKO-1	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Mantle cell lymphoma
CTB-1	SIDM00283	SIDM00283;CTB-1	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Diffuse large B-cell lymphoma
ChaGo-K-1	SIDM00924	SIDM00924;ChaGo-K-1	Lung	Other Solid Carcinomas	Bronchogenic carcinoma
MOLM-13	SIDM00437	SIDM00437;MOLM-13	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Adult Acute Myeloid Leukemia
NB69	SIDM00244	SIDM00244;NB69	Peripheral Nervous System	Neuroblastoma	
PWR-1E	SIDM01114	SIDM01114;PWR-1E	Prostate	Non-Cancerous	SV-40 Transformed Prostatic
NCI-H520	SIDM01130	SIDM01130;NCI-H520	Lung	Non-Small Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
SUP-B15	SIDM01176	SIDM01176;SUP-B15	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Childhood B acute lymphoblastic leukemia
OVCAR-8	SIDM00090	SIDM00090;OVCAR-8	Ovary	Ovarian Carcinoma	High grade ovarian serous adenocarcinoma
LNCaP-Clone-FGC	SIDM00683	SIDM00683;LNCaP-Clone-FGC	Prostate	Prostate Carcinoma	
EBC-1	SIDM00486	SIDM00486;EBC-1	Lung	Non-Small Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
JEG-3	SIDM01218	SIDM01218;JEG-3	Placenta	Other Solid Carcinomas	Gestational choriocarcinoma
SBC-1	SIDM00365	SIDM00365;SBC-1	Lung	Small Cell Lung Carcinoma	
